time,open,high,low,close,55EMA,89EMA,200EMA,Plot
1347242400,465.94,465.94,453.96,455.1,NaN,NaN,NaN,NaN
1347256800,455.61,455.61,452.63,455.59,NaN,NaN,NaN,NaN
1347328800,449.61,453.99,449.61,453.99,NaN,NaN,NaN,NaN
1347343200,453.52,453.83,452.35,453.39,NaN,NaN,NaN,NaN
1347415200,453.2,457.49,453.2,456.22,NaN,NaN,NaN,NaN
1347429600,455.73,455.79,452.75,453.96,NaN,NaN,NaN,NaN
1347501600,453.87,456.1,452.77,453.23,NaN,NaN,NaN,NaN
1347516000,452.82,456.11,452.35,456.11,NaN,NaN,NaN,NaN
1347588000,463.13,464.18,460.16,463.97,NaN,NaN,NaN,NaN
1347602400,464.74,465.92,462.99,463.9,NaN,NaN,NaN,NaN
1347847200,464.18,472.47,464.18,469.99,NaN,NaN,NaN,NaN
1347861600,470.11,471.18,468.32,468.32,NaN,NaN,NaN,NaN
1347933600,470.13,473.64,468.07,468.98,NaN,NaN,NaN,NaN
1347948000,467.58,467.58,459.26,460.44,NaN,NaN,NaN,NaN
1348020000,454.24,460.94,454.24,455.98,NaN,NaN,NaN,NaN
1348034400,455.96,457.13,454.31,457.13,NaN,NaN,NaN,NaN
1348106400,453.89,454.71,445.48,447.26,NaN,NaN,NaN,NaN
1348120800,447.16,449.66,445.4,449.66,NaN,NaN,NaN,NaN
1348192800,452.28,457.08,452.28,456.98,NaN,NaN,NaN,NaN
1348207200,456.93,457.53,455.28,457.53,NaN,NaN,NaN,NaN
1348452000,455.45,457.93,454.16,456.23,NaN,NaN,NaN,NaN
1348466400,456.21,456.9,453.84,454.52,NaN,NaN,NaN,NaN
1348538400,455.25,459.1,453.52,454.86,NaN,NaN,NaN,NaN
1348552800,454.93,456.52,454.39,456.52,NaN,NaN,NaN,NaN
1348624800,457.7,463.75,457.63,459.08,NaN,NaN,NaN,NaN
1348639200,459.17,460.23,458.97,460.23,NaN,NaN,NaN,NaN
1348711200,461.86,462.85,459.58,459.8,NaN,NaN,NaN,NaN
1348725600,459.74,459.74,455.39,458.38,NaN,NaN,NaN,NaN
1348797600,456.62,458.35,455.44,455.94,NaN,NaN,NaN,NaN
1348812000,455.74,456.48,454.68,456.48,NaN,NaN,NaN,NaN
1349056800,454.82,455.27,451,452.48,NaN,NaN,NaN,NaN
1349071200,450.5,451.74,450.43,451.55,NaN,NaN,NaN,NaN
1349143200,451.23,452.25,448.83,449.09,NaN,NaN,NaN,NaN
1349157600,449.11,450.32,448.65,448.97,NaN,NaN,NaN,NaN
1349229600,450.53,451.91,447.35,451.91,NaN,NaN,NaN,NaN
1349244000,451.98,452.59,450.37,450.44,NaN,NaN,NaN,NaN
1349316000,450.48,451.57,449.14,451.57,NaN,NaN,NaN,NaN
1349330400,450.77,450.77,448.16,449.62,NaN,NaN,NaN,NaN
1349402400,450.44,452.22,449.6,451.11,NaN,NaN,NaN,NaN
1349416800,451.08,453.2,450.48,453.2,NaN,NaN,NaN,NaN
1349661600,452.48,459.74,452.48,457.69,NaN,NaN,NaN,NaN
1349676000,457.46,460.26,457.41,460.26,NaN,NaN,NaN,NaN
1349748000,461.06,462.3,458.47,462.1,NaN,NaN,NaN,NaN
1349762400,462.15,462.51,459.94,460.09,NaN,NaN,NaN,NaN
1349834400,460.09,461.57,457.45,461.29,NaN,NaN,NaN,NaN
1349848800,461.4,461.71,460.24,461.71,NaN,NaN,NaN,NaN
1349920800,462.4,465.24,462.04,464.28,NaN,NaN,NaN,NaN
1349935200,464.18,464.33,461.28,461.28,NaN,NaN,NaN,NaN
1350007200,461.09,463.07,459.95,462.3,NaN,NaN,NaN,NaN
1350021600,461.63,462.66,460.18,460.18,NaN,NaN,NaN,NaN
1350266400,459.57,462.82,459.56,460.89,NaN,NaN,NaN,NaN
1350280800,460.39,461.34,459.59,461.34,NaN,NaN,NaN,NaN
1350352800,461.34,470.01,461.34,469.16,NaN,NaN,NaN,NaN
1350367200,468.55,471.68,468.19,471.68,NaN,NaN,NaN,NaN
1350439200,471.68,473.67,468.6,469.27,457.87690909090907,NaN,NaN,NaN
1350453600,469.23,470,468.03,469.39,458.2880909090909,NaN,NaN,NaN
1350525600,467.79,472.31,467.39,471.53,458.7610162337662,NaN,NaN,NaN
1350540000,471.01,472.16,470.43,471.96,459.2324085111317,NaN,NaN,NaN
1350612000,472.87,474.49,471.29,471.34,459.664822492877,NaN,NaN,NaN
1350626400,471.32,471.32,466.45,471.26,460.07893597527425,NaN,NaN,NaN
1350871200,470.72,470.94,466.48,468.99,460.3971882618716,NaN,NaN,NaN
1350885600,469.08,470.03,467.55,469.39,460.7183601096619,NaN,NaN,NaN
1350957600,469.61,471.43,467.83,469.76,461.0412758200311,NaN,NaN,NaN
1350972000,469.1,470.03,467.59,469.82,461.3548016836014,NaN,NaN,NaN
1351044000,469.38,470.57,466.44,468.06,461.59427305204423,NaN,NaN,NaN
1351058400,467.79,468.46,466.32,466.62,461.7737633001855,NaN,NaN,NaN
1351130400,464.31,464.81,459.5,460.39,461.7243431823218,NaN,NaN,NaN
1351144800,460.43,461.04,459.23,459.93,461.6602594972388,NaN,NaN,NaN
1351216800,459.43,463.94,459.43,463.94,461.74167880090886,NaN,NaN,NaN
1351231200,463.74,463.82,462.16,462.16,461.7566188437335,NaN,NaN,NaN
1351476000,460.57,463.07,459.7,463.07,461.8035253136002,NaN,NaN,NaN
1351490400,460.89,463.25,460.88,461.03,461.775899409543,NaN,NaN,NaN
1351562400,460.91,462.71,459.14,461.44,461.76390300205935,NaN,NaN,NaN
1351576800,459.93,461.42,459.04,459.04,461.6666207519858,NaN,NaN,NaN
1351648800,458.41,459.77,456.38,459.77,461.59888429655774,NaN,NaN,NaN
1351663200,460.01,460.57,458.56,458.56,461.49035271453783,NaN,NaN,NaN
1351735200,458.3,460.76,458.22,460.49,461.4546258318758,NaN,NaN,NaN
1351749600,460.16,460.72,458.06,458.06,461.3333891950231,NaN,NaN,NaN
1351821600,452.83,452.83,441.94,445.72,460.7757681523437,NaN,NaN,NaN
1351836000,447.64,447.64,441.42,441.9,460.1016335754743,NaN,NaN,NaN
1352080800,437.29,445.75,437.16,444.6,459.5480038049216,NaN,NaN,NaN
1352095200,446.17,446.51,443.94,446.51,459.0823608118887,NaN,NaN,NaN
1352167200,446.51,449.31,443.86,444.79,458.57191935432127,NaN,NaN,NaN
1352181600,444.32,446.63,444.25,446.63,458.14542223452406,NaN,NaN,NaN
1352253600,447.42,450.7,444.53,448.99,457.81844286900537,NaN,NaN,NaN
1352268000,449.03,451.4,448.82,450.83,457.56885562368376,NaN,NaN,NaN
1352340000,449.12,452.64,448.46,452.64,457.39282506569504,NaN,NaN,NaN
1352354400,451.33,455.78,450.01,455.78,457.33522417049164,NaN,NaN,NaN
1352426400,456.07,456.99,453.2,454.77,457.2436090215455,458.5661797752809,NaN,NaN
1352440800,455.34,457.23,453.58,457.23,457.24312298506175,458.5364868913858,NaN,NaN
1352685600,457.23,459.65,455.92,458.43,457.28551144988097,458.53412051602163,NaN,NaN
1352700000,457.87,460.64,457.87,460.14,457.3874574695281,458.56980672677673,NaN,NaN
1352772000,457.5,458.65,455.81,458.26,457.41861970275926,458.56292213284837,NaN,NaN
1352786400,457,458.04,455.08,455.08,457.33509757051786,458.4855238632295,NaN,NaN
1352858400,454.09,459.83,453.77,459.43,457.40991551442795,458.5065122218244,NaN,NaN
1352872800,459.54,459.86,457.85,458.21,457.43848996034126,458.4999230613394,NaN,NaN
1352944800,460.72,461.97,456.35,458.08,457.46140103318623,458.4905914377541,NaN,NaN
1352959200,458.06,458.06,456.48,457.08,457.4477795677153,458.45924496135956,NaN,NaN
1353031200,454.82,455.74,452.1,455.33,457.37214458315407,458.38970618444046,NaN,NaN
1353045600,454.7,455.79,454.61,455.67,457.3113537051843,458.3292682692307,NaN,NaN
1353290400,455.67,455.92,451.17,452.43,457.13701964428486,458.1981734188033,NaN,NaN
1353304800,452.46,453.39,451.04,452.36,456.9664117998461,458.0684362317188,NaN,NaN
1353376800,452.12,454.21,450.4,454.11,456.86439709270877,457.98047098212504,NaN,NaN
1353391200,453.69,455.66,453.36,455.1,456.8013829108263,457.9164605158556,NaN,NaN
1353463200,454.57,456.43,451.55,451.86,456.62490494972536,457.78187250439214,NaN,NaN
1353477600,451.72,454.6,451.64,452.87,456.49080120152087,457.6727197820723,NaN,NaN
1353549600,451.76,453.08,451.35,452.3,456.341129730038,457.5533260091374,NaN,NaN
1353564000,452.16,453.43,450.94,452.24,456.19466081110806,457.4352520978232,NaN,NaN
1353636000,452.42,453.46,449.45,449.89,455.9694943535685,457.26757982898266,NaN,NaN
1353650400,450.11,450.58,449.09,449.73,455.7466552695125,457.10007805500527,NaN,NaN
1353895200,449.73,450.64,445.14,445.62,455.384989009887,456.8449652093385,NaN,NaN
1353909600,446,446.14,444.54,445.17,455.02016797381964,456.58552153801986,NaN,NaN
1353981600,444.89,445.77,443.73,443.81,454.6198048318975,456.3016210593972,NaN,NaN
