time,open,high,low,close,55EMA,89EMA,200EMA,Plot
964749600,100,100,100,100,NaN,NaN,NaN,NaN
965008800,101.55000305,101.55000305,101.55000305,101.55000305,NaN,NaN,NaN,NaN
965181600,103.37999725,103.37999725,103.37999725,103.37999725,NaN,NaN,NaN,NaN
965354400,105.19999695,105.19999695,105.19999695,105.19999695,NaN,NaN,NaN,NaN
965613600,106.91999817,106.91999817,106.91999817,106.91999817,NaN,NaN,NaN,NaN
965786400,108.63999939,108.63999939,108.63999939,108.63999939,NaN,NaN,NaN,NaN
965959200,110.36000061,110.36000061,110.36000061,110.36000061,NaN,NaN,NaN,NaN
966218400,112.08000183,112.08000183,112.08000183,112.08000183,NaN,NaN,NaN,NaN
966391200,113.80000305,113.80000305,113.80000305,113.80000305,NaN,NaN,NaN,NaN
966564000,115.51999664,115.51999664,115.51999664,115.51999664,NaN,NaN,NaN,NaN
966823200,117.23999786,117.23999786,117.23999786,117.23999786,NaN,NaN,NaN,NaN
966996000,118.95999908,118.95999908,118.95999908,118.95999908,NaN,NaN,NaN,NaN
967168800,118.83999634,118.83999634,118.83999634,118.83999634,NaN,NaN,NaN,NaN
967428000,117,117,117,117,NaN,NaN,NaN,NaN
967600800,115.15000153,115.15000153,115.15000153,115.15000153,NaN,NaN,NaN,NaN
967773600,113.37000275,113.37000275,113.37000275,113.37000275,NaN,NaN,NaN,NaN
968205600,112.51000214,112.51000214,112.51000214,112.51000214,NaN,NaN,NaN,NaN
968378400,112.38999939,112.38999939,112.38999939,112.38999939,NaN,NaN,NaN,NaN
968637600,114.11000061,114.11000061,114.11000061,114.11000061,NaN,NaN,NaN,NaN
968810400,116.08000183,116.08000183,116.08000183,116.08000183,NaN,NaN,NaN,NaN
968983200,118.04000092,118.04000092,118.04000092,118.04000092,NaN,NaN,NaN,NaN
969242400,118.19000244,118.19000244,118.19000244,118.19000244,NaN,NaN,NaN,NaN
969415200,118.20999908,118.20999908,118.20999908,118.20999908,NaN,NaN,NaN,NaN
969588000,118.76000214,118.76000214,118.76000214,118.76000214,NaN,NaN,NaN,NaN
969847200,118.98000336,118.98000336,118.98000336,118.98000336,NaN,NaN,NaN,NaN
970020000,119.69000244,119.69000244,119.69000244,119.69000244,NaN,NaN,NaN,NaN
970192800,120.70999908,120.70999908,120.70999908,120.70999908,NaN,NaN,NaN,NaN
970452000,120.91999817,120.91999817,120.91999817,120.91999817,NaN,NaN,NaN,NaN
970624800,121.13999939,121.13999939,121.13999939,121.13999939,NaN,NaN,NaN,NaN
970797600,122.20999908,122.20999908,122.20999908,122.20999908,NaN,NaN,NaN,NaN
971056800,124.33000183,124.33000183,124.33000183,124.33000183,NaN,NaN,NaN,NaN
971229600,126.44999695,126.44999695,126.44999695,126.44999695,NaN,NaN,NaN,NaN
971402400,128.57000732,128.57000732,128.57000732,128.57000732,NaN,NaN,NaN,NaN
971661600,130.71000671,130.71000671,130.71000671,130.71000671,NaN,NaN,NaN,NaN
971834400,132.8500061,132.8500061,132.8500061,132.8500061,NaN,NaN,NaN,NaN
972007200,135.03999329,135.03999329,135.03999329,135.03999329,NaN,NaN,NaN,NaN
972266400,136.55000305,136.55000305,136.55000305,136.55000305,NaN,NaN,NaN,NaN
972439200,137.08000183,137.08000183,137.08000183,137.08000183,NaN,NaN,NaN,NaN
972612000,139.57000732,139.57000732,139.57000732,139.57000732,NaN,NaN,NaN,NaN
972871200,140.83999634,140.83999634,140.83999634,140.83999634,NaN,NaN,NaN,NaN
973044000,143.33000183,143.33000183,143.33000183,143.33000183,NaN,NaN,NaN,NaN
973216800,145.83000183,145.83000183,145.83000183,145.83000183,NaN,NaN,NaN,NaN
973476000,148.57000732,148.57000732,148.57000732,148.57000732,NaN,NaN,NaN,NaN
973648800,151.32000732,151.32000732,151.32000732,151.32000732,NaN,NaN,NaN,NaN
973821600,154.08000183,154.08000183,154.08000183,154.08000183,NaN,NaN,NaN,NaN
974080800,156.83999634,156.83999634,156.83999634,156.83999634,NaN,NaN,NaN,NaN
974253600,159.6000061,159.6000061,159.6000061,159.6000061,NaN,NaN,NaN,NaN
974426400,162.36000061,162.36000061,162.36000061,162.36000061,NaN,NaN,NaN,NaN
974685600,165.69999695,165.69999695,165.69999695,165.69999695,NaN,NaN,NaN,NaN
974858400,165.52000427,165.52000427,165.52000427,165.52000427,NaN,NaN,NaN,NaN
975031200,166.16999817,166.16999817,166.16999817,166.16999817,NaN,NaN,NaN,NaN
975290400,165.6000061,165.6000061,165.6000061,165.6000061,NaN,NaN,NaN,NaN
975463200,168.72999573,168.72999573,168.72999573,168.72999573,NaN,NaN,NaN,NaN
975636000,171.86999512,171.86999512,171.86999512,171.86999512,NaN,NaN,NaN,NaN
975895200,175,175,175,175,130.22654626963637,NaN,NaN,NaN
976068000,178.13000488,178.13000488,178.13000488,178.13000488,131.93738407714935,NaN,NaN,NaN
976240800,181.25999451,181.25999451,181.25999451,181.25999451,133.6989058783226,NaN,NaN,NaN
976500000,189.94000244,189.94000244,189.94000244,189.94000244,135.70751646981108,NaN,NaN,NaN
976672800,184.47999573,184.47999573,184.47999573,184.47999573,137.44939072910356,NaN,NaN,NaN
976845600,187.61999512,187.61999512,187.61999512,187.61999512,139.24119802877843,NaN,NaN,NaN
977104800,191.11000061,191.11000061,191.11000061,191.11000061,141.09365526382206,NaN,NaN,NaN
977277600,194.8500061,194.8500061,194.8500061,194.8500061,143.0135249365427,NaN,NaN,NaN
977450400,198.58000183,198.58000183,198.58000183,198.58000183,144.99804196845187,NaN,NaN,NaN
977709600,202.32000732,202.32000732,202.32000732,202.32000732,147.04525501672146,NaN,NaN,NaN
977882400,203.08999634,203.08999634,203.08999634,203.08999634,149.04685292112427,NaN,NaN,NaN
978055200,206.83000183,206.83000183,206.83000183,206.83000183,151.11053681072698,NaN,NaN,NaN
978487200,210.55999756,210.55999756,210.55999756,210.55999756,153.23373183748674,NaN,NaN,NaN
978660000,214.32000732,214.32000732,214.32000732,214.32000732,155.4153845332908,NaN,NaN,NaN
978919200,218.11999512,218.11999512,218.11999512,218.11999512,157.65483491138755,NaN,NaN,NaN
979092000,222.1499939,222.1499939,222.1499939,222.1499939,159.95823344669515,NaN,NaN,NaN
979264800,225.66999817,225.66999817,225.66999817,225.66999817,162.30508218681317,NaN,NaN,NaN
979524000,228.3500061,228.3500061,228.3500061,228.3500061,164.663829469427,NaN,NaN,NaN
979696800,232.67999268,232.67999268,232.67999268,232.67999268,167.0929781555189,NaN,NaN,NaN
979869600,236.97000122,236.97000122,236.97000122,236.97000122,169.5885861221075,NaN,NaN,NaN
980733600,241.36000061,241.36000061,241.36000061,241.36000061,172.15185092524652,NaN,NaN,NaN
980906400,245.80000305,245.80000305,245.80000305,245.80000305,174.78214207255914,NaN,NaN,NaN
981079200,250.22999573,250.22999573,250.22999573,250.22999573,177.4767082746106,NaN,NaN,NaN
981338400,254.96000671,254.96000671,254.96000671,254.96000671,180.24396893301736,NaN,NaN,NaN
981511200,259.92999268,259.92999268,259.92999268,259.92999268,183.08989835255244,NaN,NaN,NaN
981684000,260.1499939,260.1499939,260.1499939,260.1499939,185.84204462210414,NaN,NaN,NaN
981943200,256.17999268,256.17999268,256.17999268,256.17999268,188.35411419560043,NaN,NaN,NaN
982116000,252.21000671,252.21000671,252.21000671,252.21000671,190.6346817854004,NaN,NaN,NaN
982288800,248.97999573,248.97999573,248.97999573,248.97999573,192.71844299770754,NaN,NaN,NaN
982548000,245.99000549,245.99000549,245.99000549,245.99000549,194.6209988010037,NaN,NaN,NaN
982720800,246.75,246.75,246.75,246.75,196.482748843825,NaN,NaN,NaN
982893600,251.22000122,251.22000122,251.22000122,251.22000122,198.43765071440268,NaN,NaN,NaN
983152800,255.61000061,255.61000061,255.61000061,255.61000061,200.47952035353114,NaN,NaN,NaN
983325600,252.3999939,252.3999939,252.3999939,252.3999939,202.33382298019075,NaN,NaN,NaN
983498400,253.63999939,253.63999939,253.63999939,253.63999939,204.16618642339822,166.79662957325843,NaN,NaN
983757600,250.72999573,250.72999573,250.72999573,250.72999573,205.82917961291972,168.6618154878527,NaN,NaN
983930400,248.05000305,248.05000305,248.05000305,248.05000305,207.33706616424402,170.4259974336782,NaN,NaN
984103200,252.61000061,252.61000061,252.61000061,252.61000061,208.95395668016388,172.25230861537423,NaN,NaN
984362400,255.99000549,255.99000549,255.99000549,255.99000549,210.63381556622946,174.11314632369925,NaN,NaN
984535200,257.70001221,257.70001221,257.70001221,257.70001221,212.31475116064985,175.97063223228372,NaN,NaN
984708000,258.51998901,258.51998901,258.51998901,258.51998901,213.96493822669808,177.80506238289965,NaN,NaN
984967200,260.29000854,260.29000854,260.29000854,260.29000854,215.61940502360173,179.63806118639076,NaN,NaN
985140000,261.10998535,261.10998535,261.10998535,261.10998535,217.2440686066874,181.44854839002653,NaN,NaN
985312800,259.6000061,259.6000061,259.6000061,259.6000061,218.75678066001998,183.18524745024817,NaN,NaN
985572000,260.10998535,260.10998535,260.10998535,260.10998535,220.23368082751927,184.89468607024264,NaN,NaN
985744800,264.70001221,264.70001221,264.70001221,264.70001221,221.8217640911793,186.66813776223725,NaN,NaN
985917600,269.29998779,269.29998779,269.29998779,269.29998779,223.51741493756575,188.50440109618754,NaN,NaN
986176800,274.42999268,274.42999268,274.42999268,274.42999268,225.33572128550983,190.41385868693894,NaN,NaN
986349600,279.55999756,279.55999756,279.55999756,279.55999756,227.27230258102733,192.39488399522918,NaN,NaN
