time,open,high,low,close,55EMA,89EMA,200EMA,Plot
1451872800,579.03,579.46,578.33,579.28,NaN,NaN,NaN,NaN
1451874600,579.48,579.97,578.99,579.67,NaN,NaN,NaN,NaN
1451876400,579.55,579.55,578.14,578.52,NaN,NaN,NaN,NaN
1451878200,579.34,579.34,577.76,577.94,NaN,NaN,NaN,NaN
1451880000,577.84,579.32,577.44,579.32,NaN,NaN,NaN,NaN
1451881800,579.5,579.5,579.5,579.5,NaN,NaN,NaN,NaN
1451887200,578.3,579.05,577.61,577.7,NaN,NaN,NaN,NaN
1451889000,578.18,578.52,573.84,574.41,NaN,NaN,NaN,NaN
1451890800,574.5,575.76,573.15,575.34,NaN,NaN,NaN,NaN
1451892600,574.95,574.95,574.41,574.41,NaN,NaN,NaN,NaN
1451959200,571.66,572.11,570.94,571.41,NaN,NaN,NaN,NaN
1451961000,571.57,574.85,571.16,574.85,NaN,NaN,NaN,NaN
1451962800,574.92,575.4,571.95,571.95,NaN,NaN,NaN,NaN
1451964600,572,572.79,571.12,572.79,NaN,NaN,NaN,NaN
1451966400,572.83,573.37,572.02,573.37,NaN,NaN,NaN,NaN
1451968200,573.07,573.14,573.07,573.14,NaN,NaN,NaN,NaN
1451973600,572.66,572.66,569.84,570.34,NaN,NaN,NaN,NaN
1451975400,570.62,571.09,569.81,570.9,NaN,NaN,NaN,NaN
1451977200,571.01,571.01,569.26,569.76,NaN,NaN,NaN,NaN
1451979000,569.81,569.94,569.61,569.94,NaN,NaN,NaN,NaN
1452045600,569.5,571.2,569.5,570.38,NaN,NaN,NaN,NaN
1452047400,570.66,571.31,570.45,570.91,NaN,NaN,NaN,NaN
1452049200,570.75,571.82,569.99,571.46,NaN,NaN,NaN,NaN
1452051000,571.38,571.7,570.79,570.79,NaN,NaN,NaN,NaN
1452052800,570.91,571.3,570.2,570.94,NaN,NaN,NaN,NaN
1452054600,570.77,570.77,570.76,570.76,NaN,NaN,NaN,NaN
1452060000,570.91,571.46,570.36,570.84,NaN,NaN,NaN,NaN
1452061800,570.81,572.9,570.33,572.65,NaN,NaN,NaN,NaN
1452063600,572.68,574.48,572.68,573.98,NaN,NaN,NaN,NaN
1452065400,573.92,574.57,573.92,574.57,NaN,NaN,NaN,NaN
1452132000,570.62,570.62,566.04,566.04,NaN,NaN,NaN,NaN
1452133800,566.44,570.34,566.44,569.98,NaN,NaN,NaN,NaN
1452135600,570.23,570.23,568.67,568.78,NaN,NaN,NaN,NaN
1452137400,568.91,570.94,568.8,570.5,NaN,NaN,NaN,NaN
1452139200,570.67,570.67,568.21,568.21,NaN,NaN,NaN,NaN
1452141000,568.2,568.2,568.2,568.2,NaN,NaN,NaN,NaN
1452146400,567.43,567.46,561.09,563.66,NaN,NaN,NaN,NaN
1452148200,563.52,564.83,563.52,564.47,NaN,NaN,NaN,NaN
1452150000,563.89,565.7,563.88,565.7,NaN,NaN,NaN,NaN
1452151800,565.33,565.4,565.33,565.36,NaN,NaN,NaN,NaN
1452218400,562.62,562.62,560.55,560.55,NaN,NaN,NaN,NaN
1452220200,560.29,560.46,556.36,558.32,NaN,NaN,NaN,NaN
1452222000,558.47,561.86,558.46,561.85,NaN,NaN,NaN,NaN
1452223800,562.03,563.17,561.58,562.02,NaN,NaN,NaN,NaN
1452225600,561.34,561.75,560.91,561.39,NaN,NaN,NaN,NaN
1452227400,561.49,561.49,561.49,561.49,NaN,NaN,NaN,NaN
1452232800,561.36,562.03,560.85,560.96,NaN,NaN,NaN,NaN
1452234600,561.48,561.48,558.76,558.76,NaN,NaN,NaN,NaN
1452236400,558.79,559.82,558.57,559.54,NaN,NaN,NaN,NaN
1452238200,559.55,560.05,559.55,560.05,NaN,NaN,NaN,NaN
1452477600,559.05,559.7,558.91,559.07,NaN,NaN,NaN,NaN
1452479400,558.5,558.81,557.51,558.12,NaN,NaN,NaN,NaN
1452481200,558.48,562.57,558.48,562.5,NaN,NaN,NaN,NaN
1452483000,562.6,563.04,560.53,560.71,NaN,NaN,NaN,NaN
1452484800,560.6,561.22,559.77,559.99,568.8734545454546,NaN,NaN,NaN
1452486600,559.69,559.69,559.69,559.69,568.545474025974,NaN,NaN,NaN
1452492000,559.91,559.95,559.02,559.23,568.2127785250464,NaN,NaN,NaN
1452493800,559.45,560.05,559.17,559.48,567.9008935777233,NaN,NaN,NaN
1452495600,559.4,559.86,558.83,559.68,567.6072902356617,NaN,NaN,NaN
1452497400,559.58,559.58,557.87,557.87,567.2595298701024,NaN,NaN,NaN
1452564000,557.36,558.14,557.36,557.64,566.9159752318844,NaN,NaN,NaN
1452565800,557.6,561.11,557.6,560.01,566.6693332593171,NaN,NaN,NaN
1452567600,560.08,560.1,558.6,559.3,566.40614278577,NaN,NaN,NaN
1452569400,559.31,559.89,558.8,559.73,566.1677091148497,NaN,NaN,NaN
1452571200,559.82,560.7,559.47,560.47,565.964219503605,NaN,NaN,NaN
1452573000,560.6,560.6,560.6,560.6,565.7726402356192,NaN,NaN,NaN
1452578400,559.66,560.53,559.13,559.36,565.5436173700614,NaN,NaN,NaN
1452580200,559.27,561.12,559.12,561.08,565.3842024639878,NaN,NaN,NaN
1452582000,560.55,562.86,560.33,562.14,565.2683380902739,NaN,NaN,NaN
1452583800,562.26,564.26,562.26,564.26,565.2323260156213,NaN,NaN,NaN
1452650400,565.21,566.01,564.87,564.87,565.2193858007777,NaN,NaN,NaN
1452652200,564.94,566.02,564.21,564.35,565.1883363078928,NaN,NaN,NaN
1452654000,564.31,564.45,563.8,564.16,565.1516100111824,NaN,NaN,NaN
1452655800,564.38,564.61,563.76,564.5,565.1283382250687,NaN,NaN,NaN
1452657600,564.66,564.86,563.54,564.03,565.0891118598877,NaN,NaN,NaN
1452659400,564.14,564.14,564.14,564.14,565.0552150077489,NaN,NaN,NaN
1452664800,564.05,564.9,563.71,564.03,565.0186001860435,NaN,NaN,NaN
