time,open,high,low,close,55EMA,89EMA,200EMA,Plot
872028000,11692,11692,11692,11692,NaN,NaN,NaN,NaN
872719200,11693,11693,11693,11693,NaN,NaN,NaN,NaN
873151200,11693,11693,11693,11693,NaN,NaN,NaN,NaN
873669600,11697,11697,11697,11697,NaN,NaN,NaN,NaN
874360800,11701,11701,11701,11701,NaN,NaN,NaN,NaN
874965600,11708,11708,11708,11708,NaN,NaN,NaN,NaN
875052000,11708,11708,11708,11708,NaN,NaN,NaN,NaN
875224800,11708,11708,11708,11708,NaN,NaN,NaN,NaN
875570400,11717,11717,11717,11717,NaN,NaN,NaN,NaN
875656800,11717,11717,11717,11717,NaN,NaN,NaN,NaN
875829600,11717,11717,11717,11717,NaN,NaN,NaN,NaN
876175200,11724,11724,11724,11724,NaN,NaN,NaN,NaN
876780000,11732,11732,11732,11732,NaN,NaN,NaN,NaN
877471200,11820,11820,11820,11820,NaN,NaN,NaN,NaN
878076000,12297,12297,12297,12297,NaN,NaN,NaN,NaN
878594400,12205,12205,12205,12205,NaN,NaN,NaN,NaN
879285600,12297,12297,12297,12297,NaN,NaN,NaN,NaN
879804000,12185,12185,12185,12185,NaN,NaN,NaN,NaN
879890400,12185,12185,12185,12185,NaN,NaN,NaN,NaN
880495200,12260,12260,12260,12260,NaN,NaN,NaN,NaN
881100000,12297,12297,12297,12297,NaN,NaN,NaN,NaN
884124000,12292,12292,12292,12292,NaN,NaN,NaN,NaN
884728800,12292,12292,12292,12292,NaN,NaN,NaN,NaN
885333600,12250,12250,12250,12250,NaN,NaN,NaN,NaN
885938400,12291,12291,12291,12291,NaN,NaN,NaN,NaN
886456800,12290,12290,12290,12290,NaN,NaN,NaN,NaN
886543200,12290,12290,12290,12290,NaN,NaN,NaN,NaN
887061600,12291,12291,12291,12291,NaN,NaN,NaN,NaN
887148000,12291,12291,12291,12291,NaN,NaN,NaN,NaN
887752800,12978,12978,12978,12978,NaN,NaN,NaN,NaN
888271200,12978,12978,12978,12978,NaN,NaN,NaN,NaN
888789600,12976,12976,12976,12976,NaN,NaN,NaN,NaN
889480800,12979,12979,12979,12979,NaN,NaN,NaN,NaN
891381600,12981,12981,12981,12981,NaN,NaN,NaN,NaN
891900000,12979,12979,12979,12979,NaN,NaN,NaN,NaN
892591200,12988,12988,12988,12988,NaN,NaN,NaN,NaN
893109600,12989,12989,12989,12989,NaN,NaN,NaN,NaN
893714400,12682,12682,12682,12682,NaN,NaN,NaN,NaN
894319200,12985,12985,12985,12985,NaN,NaN,NaN,NaN
894924000,12981,12981,12981,12981,NaN,NaN,NaN,NaN
895528800,12982,12982,12982,12982,NaN,NaN,NaN,NaN
896133600,12981,12981,12981,12981,NaN,NaN,NaN,NaN
896738400,12983,12983,12983,12983,NaN,NaN,NaN,NaN
896824800,12983,12983,12983,12983,NaN,NaN,NaN,NaN
897343200,12986,12986,12986,12986,NaN,NaN,NaN,NaN
897429600,12986,12986,12986,12986,NaN,NaN,NaN,NaN
897948000,12985,12985,12985,12985,NaN,NaN,NaN,NaN
898552800,12985,12985,12985,12985,NaN,NaN,NaN,NaN
899157600,12987,12987,12987,12987,NaN,NaN,NaN,NaN
899848800,12984,12984,12984,12984,NaN,NaN,NaN,NaN
900021600,12984,12984,12984,12984,NaN,NaN,NaN,NaN
900367200,12987,12987,12987,12987,NaN,NaN,NaN,NaN
900626400,12987,12987,12987,12987,NaN,NaN,NaN,NaN
900972000,12990,12990,12990,12990,NaN,NaN,NaN,NaN
901576800,12992,12992,12992,12992,12460.327272727272,NaN,NaN,NaN
902095200,12992,12992,12992,12992,12479.315584415584,NaN,NaN,NaN
902181600,12994,12994,12994,12994,12497.697170686457,NaN,NaN,NaN
902354400,12987,12987,12987,12987,12515.172271733369,NaN,NaN,NaN
902440800,13875,13875,13875,13875,12563.73754774289,NaN,NaN,NaN
902786400,13902,13902,13902,13902,12611.532635323501,NaN,NaN,NaN
903391200,13907,13907,13907,13907,12657.79932691909,NaN,NaN,NaN
903477600,13900,13900,13900,13900,12702.16363667198,NaN,NaN,NaN
903996000,13907,13907,13907,13907,12745.193506790838,NaN,NaN,NaN
904255200,12900,13900,12900,13900,12786.436595834022,NaN,NaN,NaN
904514400,13900,13900,13900,13900,12826.206717411378,NaN,NaN,NaN
904600800,13908,13908,13908,13908,12864.842191789543,NaN,NaN,NaN
905205600,13908,13908,13908,13908,12902.097827797059,NaN,NaN,NaN
905724000,13908,13908,13908,13908,12938.022905375736,NaN,NaN,NaN
905810400,13908,13908,13908,13908,12972.66494446946,NaN,NaN,NaN
906415200,13908,13908,13908,13908,13006.069767881265,NaN,NaN,NaN
906933600,13900,13900,13900,13900,13037.995847599792,NaN,NaN,NaN
907624800,13904,13904,13904,13904,13068.924567328371,NaN,NaN,NaN
907711200,13900,13900,13900,13900,13098.60583278093,NaN,NaN,NaN
908143200,13900,13900,13900,13900,13127.227053038754,NaN,NaN,NaN
908229600,13904,13904,13904,13904,13154.968944001655,NaN,NaN,NaN
908834400,13904,13904,13904,13904,13181.720053144454,NaN,NaN,NaN
909439200,13906,13906,13906,13906,13207.58719410358,NaN,NaN,NaN
909612000,13906,13906,13906,13906,13232.53050859988,NaN,NaN,NaN
909957600,13900,13900,13900,13900,13256.368704721313,NaN,NaN,NaN
910044000,13906,13906,13906,13906,13279.569822409838,NaN,NaN,NaN
910130400,13906,13906,13906,13906,13301.942328752344,NaN,NaN,NaN
910216800,13906,13906,13906,13906,13323.515817011188,NaN,NaN,NaN
910648800,13899,13899,13899,13899,13344.068823546502,NaN,NaN,NaN
911253600,13897,13897,13897,13897,13363.8163655627,NaN,NaN,NaN
911858400,13887,13887,13887,13887,13382.501495364031,NaN,NaN,NaN
912463200,13886,13886,13886,13886,13400.483584815316,NaN,NaN,NaN
913068000,13894,13894,13894,13894,13418.109171071912,NaN,NaN,NaN
913672800,13895,13895,13895,13895,13435.140986390772,NaN,NaN,NaN
914277600,13893,13893,13893,13893,13451.493094019674,12979.943820224718,NaN,NaN
914882400,13890,13890,13890,13890,13467.154054947543,13000.167290886391,NaN,NaN
914968800,13900,13900,13900,13900,13482.612838699417,13020.163573311138,NaN,NaN
915487200,13900,13900,13900,13900,13497.51952303158,13039.715493904223,NaN,NaN
916092000,13886,13886,13886,13886,13511.393825780453,13058.521816261908,NaN,NaN
916264800,13900,13900,13900,13900,13525.272617716866,13077.221331456087,NaN,NaN
916696800,13885,13885,13885,13885,13538.120024226979,13095.17196853484,NaN,NaN
917301600,13885,13885,13885,13885,13550.5085947903,13112.723702567399,NaN,NaN
917906400,13880,13880,13880,13880,13562.276144976362,13129.77428695479,NaN,NaN
918511200,13878,13878,13878,13878,13573.551996941493,13146.40152502246,NaN,NaN
919202400,13881,13881,13881,13881,13584.53228276501,13162.725935577517,NaN,NaN
919720800,13882,13882,13882,13882,13595.156129809118,13178.709803675794,NaN,NaN
