time,open,high,low,close,55EMA,89EMA,200EMA,Plot
1451872800,573.52,573.52,571.1,572,NaN,NaN,NaN,NaN
1451874600,572.41,573.14,571.89,572.89,NaN,NaN,NaN,NaN
1451876400,572.61,572.61,571.2,571.42,NaN,NaN,NaN,NaN
1451878200,572.3,572.52,571,571.23,NaN,NaN,NaN,NaN
1451880000,571.22,572.72,570.69,572.72,NaN,NaN,NaN,NaN
1451881800,573.04,573.04,573.04,573.04,NaN,NaN,NaN,NaN
1451887200,572.17,572.56,571.51,572,NaN,NaN,NaN,NaN
1451889000,572.35,572.82,568.41,569.04,NaN,NaN,NaN,NaN
1451890800,568.92,570.45,567.6,569.92,NaN,NaN,NaN,NaN
1451892600,569.67,569.81,569.1,569.1,NaN,NaN,NaN,NaN
1451959200,566.37,566.73,565.37,565.67,NaN,NaN,NaN,NaN
1451961000,566.01,568.58,565.2,568.58,NaN,NaN,NaN,NaN
1451962800,568.65,568.9,565.79,565.79,NaN,NaN,NaN,NaN
1451964600,565.93,566.53,564.72,566.21,NaN,NaN,NaN,NaN
1451966400,566.41,566.81,565.59,566.81,NaN,NaN,NaN,NaN
1451968200,566.54,566.79,566.54,566.79,NaN,NaN,NaN,NaN
1451973600,566.43,566.43,563.5,563.96,NaN,NaN,NaN,NaN
1451975400,564.07,564.52,563.55,564.52,NaN,NaN,NaN,NaN
1451977200,564.35,564.6,562.91,563.63,NaN,NaN,NaN,NaN
1451979000,563.53,563.84,563.5,563.84,NaN,NaN,NaN,NaN
1452045600,562.94,564.72,562.94,564.09,NaN,NaN,NaN,NaN
1452047400,564.06,565.1,563.86,564.54,NaN,NaN,NaN,NaN
1452049200,564.43,565.58,563.85,565.26,NaN,NaN,NaN,NaN
1452051000,565.09,565.29,564.33,564.67,NaN,NaN,NaN,NaN
1452052800,564.59,565.23,563.86,564.71,NaN,NaN,NaN,NaN
1452054600,564.63,564.63,564.63,564.63,NaN,NaN,NaN,NaN
1452060000,564.57,565.1,563.93,564.8,NaN,NaN,NaN,NaN
1452061800,564.75,567.19,564.35,567.16,NaN,NaN,NaN,NaN
1452063600,567.22,568.98,567.22,568.2,NaN,NaN,NaN,NaN
1452065400,568.08,569.18,568.08,569.18,NaN,NaN,NaN,NaN
1452132000,568.59,568.59,559.9,559.9,NaN,NaN,NaN,NaN
1452133800,560.21,564.02,560.21,564.02,NaN,NaN,NaN,NaN
1452135600,564.21,564.47,562.66,562.96,NaN,NaN,NaN,NaN
1452137400,563.23,565.98,562.96,565.45,NaN,NaN,NaN,NaN
1452139200,565.55,566.13,563.87,563.87,NaN,NaN,NaN,NaN
1452141000,564.04,564.04,564.04,564.04,NaN,NaN,NaN,NaN
1452146400,563.9,563.9,557.12,559.48,NaN,NaN,NaN,NaN
1452148200,559.41,561.09,559.3,560.58,NaN,NaN,NaN,NaN
1452150000,560,562.73,560,562.73,NaN,NaN,NaN,NaN
1452151800,562.19,562.36,562.19,562.36,NaN,NaN,NaN,NaN
1452218400,559.2,559.2,557.04,557.04,NaN,NaN,NaN,NaN
1452220200,556.77,556.77,552.88,555.37,NaN,NaN,NaN,NaN
1452222000,555.63,558.67,555.35,558.67,NaN,NaN,NaN,NaN
1452223800,558.6,559.88,558.24,558.71,NaN,NaN,NaN,NaN
1452225600,557.98,558.55,557.3,557.33,NaN,NaN,NaN,NaN
1452227400,557.46,557.46,557.46,557.46,NaN,NaN,NaN,NaN
1452232800,557.36,558.45,556.96,557.48,NaN,NaN,NaN,NaN
1452234600,558.05,558.05,555.25,555.25,NaN,NaN,NaN,NaN
1452236400,555.33,556.23,555.06,556.11,NaN,NaN,NaN,NaN
1452238200,556.12,556.7,556.12,556.7,NaN,NaN,NaN,NaN
1452477600,555.34,555.34,554.35,554.46,NaN,NaN,NaN,NaN
1452479400,553.89,554.4,553.1,553.81,NaN,NaN,NaN,NaN
1452481200,554.21,558.58,554.21,558.36,NaN,NaN,NaN,NaN
1452483000,558.38,558.82,556.89,556.95,NaN,NaN,NaN,NaN
1452484800,556.99,557.34,555.6,555.88,563.6612727272727,NaN,NaN,NaN
1452486600,555.58,555.58,555.58,555.58,563.3726558441558,NaN,NaN,NaN
1452492000,555.73,556.45,555.41,555.43,563.0889895640074,NaN,NaN,NaN
1452493800,555.59,556.12,555.14,555.31,562.81116850815,NaN,NaN,NaN
1452495600,555.27,555.95,554.96,555.93,562.5654124900018,NaN,NaN,NaN
1452497400,555.59,555.59,553.87,553.87,562.2548620439303,NaN,NaN,NaN
1452564000,554.02,554.89,553.99,554.61,561.9818312566471,NaN,NaN,NaN
1452565800,554.6,557.74,554.6,556.8,561.7967658546239,NaN,NaN,NaN
1452567600,556.93,556.95,555.42,556.18,561.5961670741017,NaN,NaN,NaN
1452569400,556.2,556.7,555.64,556.69,561.4209468214552,NaN,NaN,NaN
1452571200,556.7,557.77,556.12,557.71,561.2884130064033,NaN,NaN,NaN
1452573000,557.86,557.86,557.86,557.86,561.1659696847461,NaN,NaN,NaN
1452578400,557.95,558.28,556.15,556.32,560.9928993388623,NaN,NaN,NaN
1452580200,556.3,558.99,555.94,558.99,560.9213672196173,NaN,NaN,NaN
1452582000,558.1,560.44,557.7,559.82,560.8820326760596,NaN,NaN,NaN
1452583800,559.77,561.95,559.77,561.95,560.9201743662003,NaN,NaN,NaN
1452650400,562.72,563.49,562.51,562.56,560.9787395674074,NaN,NaN,NaN
1452652200,562.74,563.45,561.16,561.31,560.9905702971429,NaN,NaN,NaN
1452654000,561.27,561.89,560.74,561.46,561.0073356436735,NaN,NaN,NaN
1452655800,561.62,561.93,560.77,561.29,561.0174307992565,NaN,NaN,NaN
1452657600,561.37,561.67,560.13,560.71,561.0064511278546,NaN,NaN,NaN
1452659400,560.84,560.84,560.84,560.84,561.000506444717,NaN,NaN,NaN
1452664800,560.62,561.42,560.22,560.22,560.9726312145485,NaN,NaN,NaN
1452666600,560.2,560.72,557.64,557.64,560.8536086711717,NaN,NaN,NaN
1452668400,558.14,559.9,558.11,559.37,560.8006226472013,NaN,NaN,NaN
1452670200,560.04,560.04,558.67,558.67,560.7245289812298,NaN,NaN,NaN
1452736800,552.49,552.49,551.5,551.9,560.4093672319002,NaN,NaN,NaN
1452738600,552.38,553.93,552.21,553.93,560.1779612593324,NaN,NaN,NaN
1452740400,553.94,554.3,553.01,553.96,559.9558912143563,NaN,NaN,NaN
1452742200,554.35,554.35,548.31,548.53,559.5478236709864,NaN,NaN,NaN
1452744000,548.59,550.71,548.31,550.45,559.2229013970226,NaN,NaN,NaN
1452745800,550.32,550.32,550.32,550.32,558.9049406328432,NaN,NaN,NaN
1452751200,550.05,550.28,549.04,549.48,558.5683356102417,NaN,NaN,NaN
1452753000,549.25,550.17,547.79,550.15,558.2676807670188,NaN,NaN,NaN
1452754800,550.39,553.41,550.39,552.69,558.0684778824824,560.8977528089888,NaN,NaN
1452756600,552.72,552.72,550.95,550.95,557.8142465295366,560.6766916354558,NaN,NaN
1452823200,552.22,554.02,552.2,552.62,557.6287377249103,560.4976540435567,NaN,NaN
1452825000,552.4,552.4,549.41,549.96,557.3548542347348,560.2634839537,NaN,NaN
1452826800,549.88,550.35,548.85,549.52,557.0750380120658,560.0247398658399,NaN,NaN
1452828600,549.49,549.49,547.51,548.92,556.783786654492,559.7779678688213,NaN,NaN
1452830400,548.97,548.97,547.86,547.94,556.4679371311173,559.5149019161809,NaN,NaN
1452832200,547.92,547.92,547.92,547.92,556.1626536621488,559.2572374291547,NaN,NaN
1452837600,547.83,547.83,543.68,543.87,555.7236303170721,558.9152988196179,NaN,NaN
1452839400,543.89,545.49,543.89,545.43,555.3560006628909,558.6156255125153,NaN,NaN
1452841200,545.29,545.29,541.41,541.9,554.8754292106448,558.2441671677927,NaN,NaN
1452843000,542.1,542.1,539.96,539.96,554.3427353102646,557.8378523418418,NaN,NaN
1453082400,529.52,529.52,524.21,524.63,553.2815661920409,557.0999000675786,NaN,NaN
1453084200,525.13,527.48,520.78,521.68,552.1529388280395,556.3127911771879,NaN,NaN
1453086000,522.38,527.29,522.38,526.39,551.2328338698952,555.6478402621393,NaN,NaN
1453087800,526.6,527.33,524.92,525.19,550.3027326602561,554.9709993674251,NaN,NaN
1453089600,525.15,525.51,524.12,524.99,549.3987064938184,554.3047549370378,NaN,NaN
1453091400,525.03,525.03,525.03,525.03,548.5283955476106,553.6542048273259,NaN,NaN
1453096800,525.35,525.35,517.77,518.61,547.4598814209102,552.875444720052,NaN,NaN
1453098600,519.32,524.16,518.99,524.08,546.6248856558776,552.2355459484953,NaN,NaN
1453100400,523.14,527.23,523.14,526.42,545.9032825967391,551.6618671496399,NaN,NaN
1453102200,526.45,526.99,526.45,526.99,545.2278082182842,551.1136034352035,NaN,NaN
1453168800,526.83,532.74,526.83,532.15,544.7607436390597,550.6921900255322,NaN,NaN
1453170600,532.01,532.14,528.33,532.14,544.3100027948076,550.2799191360759,NaN,NaN
1453172400,531.43,532.76,531.38,532.04,543.8717884092788,549.8745875997187,NaN,NaN
1453174200,532.11,532.11,530.52,531.29,543.4224388232332,549.4615967641694,NaN,NaN
1453176000,531.42,531.42,529.55,529.63,542.9298517224034,549.0208946138545,NaN,NaN
1453177800,529.66,529.66,529.66,529.66,542.4559284466034,548.5906525113244,NaN,NaN
1453183200,529.47,529.95,528.83,529.51,541.9935738592246,548.1666380110727,NaN,NaN
1453185000,529.56,533.27,529.56,533.26,541.6816605071094,547.8353793886045,NaN,NaN
1453186800,533.21,534.71,532.95,533.5,541.3894583461413,547.516815402191,NaN,NaN
1453188600,533.63,535.27,533.63,535.27,541.1709062623505,547.244663948809,NaN,NaN
1453255200,532.27,532.27,531.15,531.47,540.8244453244095,546.8941158610577,NaN,NaN
1453257000,531.19,531.4,529.69,530.61,540.4596437056805,546.5322466197008,NaN,NaN
1453258800,530.33,531.61,530.33,531.6,540.143227859049,546.2004189170408,NaN,NaN
1453260600,531.46,536.5,531.46,536.39,540.0091840069401,545.9824096077732,NaN,NaN
1453262400,535.86,536.07,532.84,533.04,539.7602845781208,545.6948005053782,NaN,NaN
1453264200,533.06,533.06,533.06,533.06,539.5209887003308,545.4140271608143,NaN,NaN
1453269600,533.08,533.08,529.5,530.77,539.2084533896048,545.0886043350184,NaN,NaN
1453271400,530.75,532.97,530.75,531.94,538.9488657685474,544.7964131275736,NaN,NaN
1453273200,531.96,532.29,530.8,530.8,538.6578348482421,544.4853817247387,NaN,NaN
1453275000,530.94,530.94,530.07,530.07,538.351126460805,544.1650399086334,NaN,NaN
1453341600,530.07,530.07,527.49,527.98,537.9807290872047,543.8053723551081,NaN,NaN
1453343400,527.99,528.91,527.73,528.53,537.643203048376,543.4659196361057,NaN,NaN
1453345200,528.6,532.44,528.6,532.44,537.4573743680769,543.2208991997478,NaN,NaN
1453347000,532.16,533.26,529.5,529.5,537.1731824263599,542.9159903286424,NaN,NaN
1453348800,529.48,530.85,529.38,530.8,536.9455687682756,542.646746099117,NaN,NaN
1453350600,530.95,530.95,530.95,530.95,536.7314413122658,542.3868184080255,NaN,NaN
1453356000,529.87,530.3,528.14,528.23,536.4278184082564,542.0722224434028,NaN,NaN
1453357800,528.1,528.28,525.26,526.05,536.0571820365329,541.7161730557716,NaN,NaN
1453359600,525.5,527.13,524.67,526.95,535.7319255352282,541.3880358767544,NaN,NaN
1453361400,527.42,527.42,525.46,525.46,535.3650710518273,541.0340795239376,NaN,NaN
1453428000,528.02,528.84,527.84,528.46,535.1184613714049,540.7546555345168,NaN,NaN
1453429800,528.27,528.27,524.22,524.85,534.7517306081404,540.4012187448609,NaN,NaN
1453431600,525.16,526.64,524.36,525.22,534.4113116578496,540.0638583283085,NaN,NaN
1453433400,524.59,524.96,521.31,521.32,533.9437648129265,539.647328143235,NaN,NaN
1453435200,521.12,521.78,519.18,521.67,533.5054160696077,539.2478319622742,NaN,NaN
1453437000,522.22,522.22,522.22,522.22,533.1023654956931,538.8694356964459,NaN,NaN
