Gender,Group,Driver_License
Men,Group C,0
Women,Group A,1
Women,Group B,1
Men,Group B,1
Women,Group A,0
Men,Group B,1
Men,Group B,1
Women,Group B,0
Men,Group A,1
Men,Group C,1
Men,Group A,0
Women,Group C,0
Men,Group A,1
Men,Group A,1
Women,Group B,0
Men,Group C,0
Men,Group A,1
Men,Group B,0
Men,Group A,0
Women,Group B,1
Men,Group C,0
Men,Group C,0
Men,Group A,1
Men,Group C,1
Women,Group C,1
Men,Group A,0
Women,Group A,1
Women,Group A,0
Men,Group A,1
Men,Group A,0
Women,Group B,1
Women,Group B,0
Men,Group A,1
Men,Group C,0
Women,Group A,1
Men,Group A,0
Men,Group B,1
Women,Group A,1
Men,Group B,0
Men,Group A,0
Men,Group A,1
Women,Group B,1
Men,Group C,1
Men,Group B,0
Men,Group A,1
Women,Group B,1
Women,Group B,0
Women,Group A,0
Men,Group C,1
Women,Group B,0
Men,Group C,1
Men,Group A,1
Men,Group C,1
Men,Group A,1
Women,Group B,1
Women,Group B,0
Men,Group B,1
Women,Group B,0
Women,Group B,0
Men,Group B,1
Women,Group B,1
Men,Group B,1
Men,Group B,1
Women,Group A,0
Men,Group A,1
Men,Group C,0
Women,Group C,0
Men,Group A,0
Women,Group C,0
Men,Group A,1
Men,Group C,1
Men,Group B,1
Men,Group C,1
Women,Group C,0
Men,Group A,0
Women,Group B,0
Women,Group C,0
Men,Group C,0
Men,Group A,1
Men,Group A,0
Men,Group A,0
Men,Group C,1
Men,Group C,1
Men,Group B,0
Men,Group B,1
Men,Group B,1
Women,Group B,1
Women,Group B,1
Women,Group A,1
Women,Group C,1
Women,Group C,1
Men,Group C,1
Women,Group C,0
Men,Group A,1
Men,Group C,0
Women,Group C,0
Women,Group A,0
Men,Group B,1
Men,Group A,1
Men,Group A,1
Men,Group B,0
Men,Group A,1
Men,Group A,0
Men,Group B,1
Men,Group B,1
Women,Group C,0
Women,Group A,1
Men,Group B,0
Men,Group B,1
Men,Group A,1
Men,Group C,0
Men,Group C,1
Men,Group C,1
Women,Group A,1
Women,Group A,0
Women,Group C,1
Women,Group C,0
Women,Group B,0
Women,Group C,1
Women,Group C,0
Women,Group A,1
Women,Group A,0
Men,Group C,1
Men,Group A,1
Men,Group A,0
Women,Group B,1
Men,Group B,1
Men,Group A,0
Women,Group A,1
Women,Group B,1
Women,Group B,1
Men,Group C,0
Men,Group B,1
Men,Group C,0
Men,Group B,1
Women,Group C,0
Women,Group A,0
Men,Group C,0
Women,Group A,1
Women,Group C,1
Women,Group A,1
Men,Group A,1
Men,Group A,0
Men,Group B,0
Men,Group A,1
Men,Group A,1
Men,Group C,1
Men,Group C,0
Men,Group B,0
Women,Group A,1
Men,Group C,1
Women,Group B,0
Men,Group A,1
Women,Group C,0
Men,Group C,1
Women,Group A,1
Men,Group C,0
Women,Group C,0
Men,Group A,0
Women,Group C,0
Men,Group C,1
Women,Group A,0
Men,Group A,1
Men,Group A,0
Men,Group B,1
Men,Group C,0
Women,Group C,0
Women,Group A,1
Men,Group C,0
Men,Group A,0
Women,Group C,0
Men,Group A,1
Men,Group A,1
Women,Group C,0
Women,Group B,1
Women,Group C,0
Women,Group C,0
Men,Group A,1
Women,Group B,1
Women,Group C,0
Women,Group C,1
Men,Group A,0
Women,Group C,0
Men,Group B,1
Men,Group B,1
Women,Group A,1
Women,Group C,0
Women,Group B,0
Women,Group B,1
Women,Group C,0
Men,Group C,1
Men,Group B,1
Men,Group A,1
Men,Group B,1
Women,Group B,1
Women,Group C,1
Women,Group B,0
Men,Group A,1
Men,Group A,1
Women,Group B,0
Women,Group C,0
Men,Group B,1
Women,Group B,0
Women,Group A,1
Women,Group B,1
Men,Group C,0
Women,Group A,0
Men,Group A,1
Women,Group A,0
Men,Group B,0
Men,Group A,1
Women,Group B,0
Men,Group B,1
Women,Group B,1
Men,Group B,1
Men,Group A,1
Men,Group C,0
Men,Group C,0
Women,Group A,1
Men,Group B,0
Women,Group B,1
Men,Group B,0
Women,Group A,0
Men,Group B,0
Women,Group C,0
Men,Group B,0
Men,Group B,1
Women,Group C,0
Men,Group B,0
Women,Group C,0
Women,Group C,0
Women,Group B,0
Women,Group B,0
Women,Group C,0
Men,Group C,0
Women,Group B,0
Men,Group A,0
Women,Group B,0
Women,Group A,0
Women,Group C,1
Women,Group C,1
Men,Group B,1
Women,Group A,1
Men,Group B,0
Men,Group C,0
Men,Group B,1
Men,Group A,1
Men,Group C,1
Women,Group C,1
Men,Group A,1
Women,Group A,0
Women,Group B,1
Men,Group C,1
Men,Group B,1
Men,Group B,1
Women,Group A,1
Women,Group B,1
Men,Group A,1
Men,Group A,0
Men,Group B,1
Men,Group A,1
Men,Group B,0
Women,Group C,0
Women,Group C,0
Women,Group B,1
Women,Group C,0
Men,Group B,0
Men,Group C,0
Men,Group A,1
Women,Group B,1
Men,Group C,1
Women,Group B,0
Women,Group B,0
Women,Group C,0
Women,Group C,0
Men,Group B,0
Women,Group B,0
Men,Group C,0
Men,Group A,1
Men,Group C,0
Men,Group B,0
Women,Group B,0
Women,Group C,0
Women,Group A,0
Women,Group A,1
Men,Group C,1
Men,Group A,1
Women,Group A,1
Men,Group A,1
Men,Group B,0
Women,Group B,1
Women,Group A,0
Men,Group B,1
Women,Group A,0
Women,Group A,1
Men,Group C,0
Women,Group A,0
Women,Group C,1
Women,Group A,0
Men,Group C,0
Women,Group A,0
Men,Group B,0
Men,Group B,0
Men,Group B,1
Men,Group B,0
Women,Group B,0
Men,Group B,0
Women,Group A,1
Women,Group C,0
Men,Group C,1
Women,Group C,1
Men,Group C,1
Men,Group A,0
Women,Group C,0
Women,Group C,0
Women,Group A,1
Women,Group C,0
Men,Group B,1
Women,Group A,1
Women,Group B,0
Men,Group B,0
Men,Group B,0
Women,Group C,1
Women,Group A,0
Men,Group A,1
Women,Group B,0
Women,Group C,0
Men,Group A,1
Women,Group A,1
Men,Group A,1
Women,Group C,0
Men,Group A,1
Women,Group B,0
Men,Group A,1
Women,Group C,0
Men,Group B,1
Women,Group A,1
Men,Group C,1
Men,Group B,1
Men,Group C,0
Men,Group C,1
Women,Group B,0
Men,Group C,0
Women,Group A,1
Women,Group C,0
Men,Group A,0
Men,Group C,1
Men,Group A,0
Women,Group B,1
Women,Group C,1
Women,Group B,1
Women,Group B,0
Men,Group A,0
Women,Group B,0
Men,Group B,0
Men,Group B,0
Women,Group C,0
Women,Group A,0
Men,Group A,1
Men,Group C,1
Women,Group C,1
Women,Group B,1
Men,Group C,1
Women,Group C,0
Women,Group C,0
Men,Group A,1
Men,Group B,1
Men,Group A,0
Women,Group B,1
Men,Group C,1
Women,Group A,1
Men,Group B,0
Women,Group C,1
Women,Group C,0
Women,Group C,1
Men,Group A,0
Men,Group C,1
Men,Group B,1
Men,Group C,1
Men,Group C,1
Women,Group A,1
Women,Group C,0
Women,Group B,0
Men,Group A,1
Men,Group B,0
Men,Group B,0
Men,Group B,1
Women,Group C,0
Women,Group C,0
Men,Group C,0
Women,Group B,0
Men,Group A,1
Women,Group B,1
Women,Group A,0
Women,Group A,1
Women,Group C,0
Men,Group B,1
Women,Group A,0
Men,Group A,1
Women,Group B,1
Men,Group B,0
Men,Group A,0
Women,Group C,0
Women,Group B,0
Women,Group B,1
Men,Group A,1
Women,Group B,0
Women,Group C,0
Men,Group A,0
Women,Group C,0
Men,Group C,0
Men,Group A,1
Women,Group A,1
Women,Group A,0
Women,Group C,0
Men,Group A,1
Women,Group B,1
Men,Group A,1
Men,Group C,1
Women,Group B,0
Women,Group C,1
Women,Group C,0
Women,Group A,1
Women,Group C,0
Women,Group B,1
Women,Group A,1
Men,Group B,1
Women,Group A,1
Men,Group B,1
Women,Group B,0
Men,Group C,1
Women,Group C,0
Men,Group B,1
Men,Group B,0
Women,Group A,0
Women,Group A,1
Women,Group B,0
Women,Group A,1
Women,Group A,1
Men,Group C,0
Women,Group B,0
Women,Group C,1
Men,Group C,1
Women,Group C,0
Women,Group A,0
Men,Group B,1
Men,Group C,1
Men,Group A,1
Men,Group A,1
Women,Group B,1
Women,Group A,1
Men,Group B,1
Men,Group C,0
Women,Group B,1
Women,Group B,0
Men,Group A,1
Women,Group B,1
Men,Group C,1
Men,Group C,0
Men,Group A,1
Women,Group B,1
Women,Group A,0
Women,Group A,0
Women,Group A,0
Men,Group C,0
Men,Group C,1
Men,Group A,1
Women,Group A,1
Men,Group A,1
Women,Group C,0
Women,Group A,1
Men,Group B,1
Women,Group B,0
Women,Group B,1
Men,Group A,0
Women,Group C,1
Women,Group B,0
Men,Group A,1
Men,Group A,0
Men,Group B,0
Men,Group B,1
Women,Group C,0
Women,Group A,1
Men,Group A,1
Men,Group B,0
Women,Group C,0
Men,Group A,0
Women,Group C,1
Women,Group A,1
Women,Group C,1
Men,Group A,1
Women,Group B,1
Men,Group C,0
Women,Group B,0
Men,Group B,0
Women,Group A,0
Women,Group A,0
Women,Group C,1
Women,Group C,1
Women,Group A,0
