"HH_ID"	"Member_Age_Orig"	"Member_ID"	"Member_Gender_Orig"	"HEIGHT"	"WEIGHT"	"Mod_act"	"Vig_act"
1	37	2055	1	5.1	190	32	 
1	37	3841	2	5.5	170	30	2
1	2	4633	2	 	30	 	 
1	2	4735	1	 	32	 	 
1	1	4917	1	 	28	 	 
9	28	6360	1	5.11	190	20	30
9	26	7098	2	5.5	140	10	15
12	47	2056	1	5.7	155	18	10
12	44	3842	2	5.2	120	17	1
12	19	4634	1	5.7	125	10	1
12	15	4736	1	5.5	122	5	0
16	75	2057	2	5.4	128	48	 
16	77	3843	1	5.7	168	48	 
21	38	1551	1	6.1	225	10	2
21	42	3439	2	5.1	205	10	2
21	15	4421	2	5.7	120	12	4
39	48	1552	1	6.1	300	10	 
39	44	3440	2	5.7	160	10	 
39	 	4422	1	5.5	88	6	 
55	57	6361	1	5.1	 	10	 
55	56	7099	2	5.5	 	15	 
60	31	2058	1	5.8	225	13	45
60	38	3844	2	5.4	210	25	13
60	7	4635	1	4.1	45	13	 
60	3	4737	1	3	38	13	 
82	63	6362	1	6.1	250	3	1
82	58	7100	2	5.3	180	3	1
83	 	2059	1	5.5	170	 	 
83	68	3845	2	5.3	165	9	4
97	26	6363	1	5.9	150	14	16
101	34	5259	 	6.1	250	6	0
101	 	5267	 	5.4	115	6	0
103	65	1553	1	5.8	194	20	15
103	64	3441	2	5.4	150	10	6
107	43	2060	1	6.2	185	5	 
107	44	3846	2	5.7	200	5	 
107	18	4636	2	5.11	210	5	 
107	16	4738	1	6	180	5	5
109	47	6364	1	5.11	195	4	 
109	41	7101	2	5.7	140	5	 
109	17	7439	1	5.7	130	 	 
109	15	7641	1	5.6	120	 	 
110	40	1554	2	5.7	220	5	 
110	8	2250	2	4.6	70	14	 
110	42	3442	2	5.5	200	4	 
110	10	4423	2	4.7	56	14	 
117	32	2061	2	5.6	128	35	 
117	27	3847	1	5.6	165	90	5
117	1	4637	1	2.7	20	56	 
123	58	2062	1	6.1	190	10	2
123	54	3848	2	5.1	150	3	0
125	60	2063	2	5.7	165	7	 
125	67	3849	1	5.9	185	28	 
132	35	1555	2	5.4	170	40	2
132	8	2251	1	 	 	 	 
132	35	3443	1	5.11	 	40	5
132	10	4424	1	 	 	 	 
132	6	4872	1	 	 	 	 
132	4	4940	1	 	 	 	 
132	2	4959	1	 	 	 	 
132	0	5236	2	 	 	 	 
134	39	2064	1	6.1	230	4	4
134	38	3850	2	5.9	180	3	5
134	12	4638	1	5.8	118	2	4
134	9	4739	2	5.4	90	2	5
135	55	6365	1	5.1	230	12	1
135	45	7102	2	5.3	115	20	0
137	57	2065	1	5.9	175	10	 
149	47	6366	2	 	 	 	 
149	23	7103	1	 	 	 	 
149	19	7440	1	 	 	 	 
149	13	7642	2	 	 	 	 
149	12	7718	1	 	 	 	 
149	47	7790	1	 	 	 	 
157	77	1556	2	 	 	 	 
159	39	2066	1	5.11	186	2	 
159	40	3851	2	5.3	140	4	 
159	10	4639	1	4.9	96	4	 
159	7	4740	2	4	56	3	 
163	71	6367	1	6.3	240	20	0
163	67	7104	2	5.6	225	20	0
163	20	7441	2	5.1	180	20	10
186	45	2067	1	5.8	170	 	 
186	45	3852	2	5.4	160	 	 
186	18	4640	1	5.9	133	 	 
189	47	1557	1	5.1	205	20	10
189	17	2252	2	5.3	150	20	9
189	44	3444	2	5.4	136	35	9
189	19	4425	2	5.6	128	20	9
189	14	4873	1	5.3	102	40	12
194	57	6368	1	6	205	10	2
194	57	7105	2	5.7	110	12	3
195	81	6369	1	5.11	270	1	1
200	48	2068	1	5.9	250	20	30
200	49	3853	2	5.1	200	10	0
200	20	4641	2	5.8	180	10	0
202	83	1558	2	5.3	150	40	 
211	46	1559	2	 	 	 	 
211	5	3445	2	 	 	 	 
211	44	4426	1	 	 	 	 
214	45	2070	1	5.9	190	10	1
214	50	3855	2	5.4	180	10	1
214	18	4643	2	5.5	175	10	5
214	18	4742	2	5.1	110	10	5
217	56	2069	1	5.1	190	20	1
217	56	3854	2	5.6	120	10	4
217	22	4642	2	5.8	125	8	1
217	54	4741	2	5.4	150	4	0
238	45	6370	2	5.6	145	5	45
238	51	7106	1	6.2	210	5	40
240	92	6371	2	 	141	 	 
253	46	6372	1	 	 	 	 
253	45	7107	2	 	 	 	 
253	18	7442	1	 	 	 	 
265	41	2071	1	 	 	52	 
265	42	3856	2	 	 	 	 
265	9	4644	2	 	 	 	 
265	7	4743	2	 	 	 	 
268	43	2072	1	5.6	150	12	 
272	68	2073	1	6.1	215	5	5
272	55	3857	2	5.3	175	5	1
273	49	2074	1	5.11	190	7	 
273	22	3858	1	5.6	145	3	 
273	19	4645	1	5.1	150	12	 
283	77	2075	1	5.11	180	40	 
283	76	3859	2	5.3	155	40	 
285	57	2076	2	5.8	250	15	0
285	 	3860	2	5.6	150	10	7
291	55	6373	1	5.5	140	50	 
291	50	7108	2	5.3	120	30	 
291	22	7443	1	6	180	50	 
294	53	2077	1	6	340	4	0
294	50	3861	2	5.3	182	2	0
295	58	5247	1	6.2	185	6	4
298	54	1560	2	5.2	140	3	 
298	55	3446	1	6.1	190	4	 
303	47	2078	2	5.2	116	15	5
303	47	3862	1	5.8	172	10	2
303	18	4646	1	5.9	128	5	5
303	13	4744	2	4.11	87	10	5
303	10	4918	2	4.9	74	10	5
303	6	4954	1	4.1	42	10	5
303	21	5231	2	5.3	115	10	5
304	49	6374	2	5.1	125	5	1
304	20	7109	1	6.3	165	7	3
311	59	2079	1	5.11	180	9	9
311	17	3863	2	5.5	125	9	9
311	56	5285	 	5.3	150	9	9
312	28	6375	1	 	 	 	 
312	27	7110	2	 	 	 	 
321	63	6376	1	5.1	 	50	0
321	59	7111	2	5.9	 	15	0
325	43	1561	2	5.8	160	8	3
325	46	3447	1	5.8	180	8	3
325	16	4427	2	5.8	150	4	16
332	37	2080	1	6.2	250	0	50
332	34	3864	2	5.4	179	13	0
332	16	4647	1	5.4	143	6	0
332	15	4745	1	6.3	278	1	0
332	2	4919	2	3	29	9	9
332	0	4955	1	 	 	 	 
337	42	6377	1	5.5	240	50	3
337	41	7112	2	5.4	210	40	0
337	11	7444	2	4	64	70	5
337	10	7643	1	4.2	87	70	5
340	64	2081	1	5.11	220	20	9
340	62	3865	2	5.6	200	16	9
350	62	6378	1	5.8	165	5	0
350	 	7766	1	5.6	150	0	0
359	55	2082	1	5.8	155	0	0
359	52	3866	2	5.6	120	40	2
359	3	4648	2	3	25	25	0
367	44	2083	1	5.11	175	16	9
367	41	3867	2	5.3	188	6	9
367	11	4649	2	5.4	110	6	2
367	9	4746	2	4.11	100	6	2
368	52	6379	2	5.8	 	 	 
368	50	7113	1	6	 	 	 
368	18	7445	2	5.9	 	 	 
392	42	6380	1	6.2	360	2	0
392	 	7114	2	5.1	150	2	1
401	42	6381	1	 	 	 	 
401	38	7115	2	 	 	 	 
401	13	7446	2	 	 	 	 
401	10	7644	2	 	 	 	 
401	7	7719	1	 	 	 	 
409	35	6382	2	5.7	190	80	20
409	33	7116	1	6.2	225	78	18
409	9	7447	2	4.11	85	50	42
409	6	7645	2	4.1	50	60	55
409	4	7720	2	3.7	41	70	68
410	46	2084	1	6	195	12	9
410	46	3868	2	5.1	135	12	9
422	54	1562	1	6.2	240	18	2
422	52	3448	2	5.6	180	14	1
425	59	6383	1	5.1	158	4	0
425	29	7117	2	5.5	135	7	7
427	36	6384	2	5.1	169	3	1
427	15	7118	1	5.2	120	5	1
427	6	7448	1	4.1	50	5	1
429	33	1563	1	6.3	200	10	15
429	4	2253	2	3	35	5	5
429	34	3449	2	5.3	165	10	2
429	7	4428	2	4	45	5	5
430	60	6385	1	5.11	250	2	0
430	60	7119	2	5.2	 	0	0
430	36	7449	2	5.3	210	2	0
430	32	7646	1	6.4	295	2	0
431	71	5414	1	6.1	220	40	 
435	49	2085	2	5.2	200	9	9
435	16	3869	1	5.11	140	9	9
436	71	5415	1	5.11	209	30	0
436	73	6386	2	5.4	145	30	 
437	32	2086	2	5.4	215	7	2
437	15	3870	1	6.1	185	7	7
437	4	4650	2	3	32	7	2
438	75	5416	1	5.1	192	20	40
438	73	6387	2	5.6	160	15	30
451	45	2087	2	5.6	220	10	0
451	16	3871	1	6.2	200	15	0
451	16	4651	1	6.2	200	15	0
451	12	4747	2	5.8	130	15	2
451	47	4920	1	5.8	200	10	0
458	81	2088	2	 	 	 	 
466	56	1564	1	5.11	230	0	0
466	20	2254	1	5.11	165	0	0
466	54	3450	2	5.5	130	0	0
466	24	4429	2	5.5	130	0	0
467	73	2089	1	5.1	195	14	6
467	71	3872	2	5	100	7	0
470	78	2090	2	5.3	190	15	 
486	54	2091	1	5.7	176	8	 
486	50	3873	2	5.8	118	10	 
486	24	4652	2	5.6	130	12	 
491	65	5417	1	5.9	200	50	 
491	62	6388	2	5.4	200	30	 
500	90	5418	1	5.4	150	2	 
501	44	1565	2	5.6	135	5	 
501	11	2255	2	5.5	 	 	 
501	16	3451	1	5.7	127	 	 
501	14	4430	1	5.6	120	 	 
501	49	5286	1	5.9	164	7	 
509	71	5419	1	6.1	215	4	2
509	57	6389	2	5.7	140	4	2
512	55	2092	2	5	98	12	10
516	49	2093	1	5.1	199	8	6
516	50	3874	2	5.4	210	6	8
516	22	4653	1	5.11	170	20	6
525	45	2095	2	5.11	210	60	12
525	17	3875	2	5.9	180	40	6
532	56	2096	1	6.2	200	7	2
532	56	3876	2	5.1	135	6	3
534	32	5420	1	6.2	175	4	1
534	31	6390	2	5.6	190	2	0
534	2	7120	1	3.2	31	 	 
537	49	2097	2	5.2	110	5	5
537	20	3877	1	5.6	135	 	30
537	17	4654	2	5.5	126	8	 
539	53	5421	1	5.9	190	10	0
539	50	6391	2	5.3	110	10	0
542	51	5422	2	5.4	267	 	 
542	22	6392	1	6	185	 	 
542	17	7121	2	5.5	137	 	 
553	58	1566	2	5.7	 	2	 
553	23	3452	1	6.3	190	7	 
554	55	2098	1	6	305	2	0
554	57	3878	2	5.6	140	3	1
555	44	5423	1	5.9	160	10	4
555	45	6393	2	5.1	123	10	2
555	20	7122	2	5.6	115	20	0
555	15	7450	1	5.9	145	15	4
562	41	1567	2	5.6	145	5	5
562	21	3453	2	5.5	125	1	8
562	14	4431	1	5.6	130	1	3
569	49	2099	1	6	205	5	0
569	45	3879	2	5.6	180	5	0
569	14	4655	1	5.6	130	7	2
569	12	4748	1	4.11	88	10	10
573	 	5424	1	 	 	8	 
573	 	6394	2	 	 	8	 
593	48	5425	2	5.8	125	20	5
593	48	6395	1	5.8	210	20	5
593	16	7123	1	6.1	160	5	1
593	12	7451	2	5	100	5	1
595	54	1568	1	 	 	 	 
595	18	2256	1	 	 	 	 
595	48	3454	2	 	 	 	 
595	22	4432	1	 	 	 	 
596	70	1569	1	 	 	 	 
596	75	3455	2	 	 	 	 
602	57	2100	2	5.4	165	8	2
602	62	3880	1	6.2	235	12	6
603	61	5426	1	5.8	185	5	7
603	61	6396	2	5.2	145	5	7
607	54	2101	1	 	 	 	 
607	54	3881	2	 	 	 	 
607	20	4656	2	5.4	130	8	4
607	19	4749	1	 	 	 	 
608	30	1570	1	5.7	160	20	40
608	34	3456	2	5.6	300	40	40
625	18	5427	1	 	 	 	 
625	50	6397	2	5.6	200	6	0
626	 	1982	1	 	 	5	 
626	35	3781	2	 	 	7	 
626	 	4598	1	 	 	7	 
626	 	4713	2	 	 	7	 
631	56	5428	1	 	 	 	 
631	55	6398	2	 	 	 	 
631	 	7124	1	 	 	 	 
637	53	2102	1	6.1	215	15	5
637	51	3882	2	5.9	135	15	2
638	47	2103	1	5.5	178	4	1
638	11	3883	2	5.5	105	3	4
648	50	5429	1	6	148	10	1
648	49	6399	2	5.8	125	10	2
648	18	7125	2	5.7	110	2	0
651	52	1571	2	5.4	130	20	7
651	23	3457	1	6	170	30	40
651	54	5287	1	6.1	200	20	30
653	43	1983	1	5.8	192	3	0
653	42	3782	2	5.1	145	3	0
653	14	4599	2	5.1	114	2	0
653	12	4714	2	4.8	85	2	5
653	8	4909	1	4	55	5	3
656	52	5430	2	5.6	160	3	 
656	52	6400	1	5.1	180	30	 
656	25	7126	2	5.3	133	2	 
657	46	5431	2	5.5	145	0	0
