userId,itemId,review_text
1,215,đáng tiền tận tình giao hàng đổi trả hài lòng hài lòng tốt thất vọng xấu chất lượng ưu đãi tốt xấu hài lòng
1,93,đẹp không tốt rất đổi trả không xấu chậm đẹp giao hàng tốt
1,213,đáng tiền đóng gói không đáng tiền không tận tình
1,333,tận tình giá chậm không đáng tiền xấu rất không đẹp chất lượng xấu ưu đãi chất lượng đẹp
1,32,thất vọng hài lòng ưu đãi tận tình chậm
1,347,nhanh chất lượng tốt ưu đãi xấu rất
1,96,chậm giá chậm hài lòng không tốt đổi trả đáng tiền nhanh
1,221,đóng gói không chậm giao hàng tốt thất vọng không không đẹp
1,132,chất lượng giao hàng xấu không không đẹp nhanh tận tình đẹp rất không giá
1,122,thất vọng chất lượng không đáng tiền đóng gói tận tình hài lòng
1,219,xấu chậm giao hàng giao hàng ưu đãi chậm tốt tốt giao hàng hài lòng đổi trả đáng tiền
1,181,đáng tiền đẹp chất lượng hài lòng giá xấu đẹp
1,154,hài lòng giá nhanh giá nhanh giá
1,40,đẹp đóng gói không đổi trả chất lượng chậm đẹp nhanh
1,139,đóng gói tốt nhanh không không đóng gói đổi trả
1,278,không hài lòng tốt đổi trả đóng gói hài lòng đóng gói chất lượng đẹp chậm đóng gói đóng gói xấu
1,28,giá đóng gói rất ưu đãi đẹp hài lòng rất ưu đãi rất tốt chất lượng chậm tận tình tốt
1,37,tốt giao hàng chậm thất vọng thất vọng xấu chất lượng thất vọng giá đẹp giao hàng
1,126,tận tình tận tình đẹp đổi trả chậm nhanh đẹp nhanh rất giá
1,29,hài lòng nhanh rất hài lòng đóng gói đóng gói giao hàng ưu đãi đổi trả thất vọng giá
1,160,chậm hài lòng rất tận tình tận tình tận tình giao hàng đóng gói tận tình
1,1,tận tình xấu đóng gói đáng tiền giao hàng
1,280,xấu giá đẹp giá đáng tiền tốt tận tình giá đóng gói thất vọng xấu đóng gói đẹp chậm
1,47,giá rất đóng gói rất đẹp chất lượng chậm nhanh
1,127,tận tình nhanh giá hài lòng chất lượng đẹp rất đáng tiền
1,169,giao hàng thất vọng không nhanh đáng tiền tốt rất đóng gói đáng tiền đổi trả hài lòng
1,348,đóng gói chất lượng hài lòng không giá chậm đổi trả đẹp đổi trả ưu đãi chất lượng đẹp đóng gói tốt
1,432,chậm thất vọng giá thất vọng chất lượng đáng tiền đóng gói chậm
1,396,thất vọng đổi trả đáng tiền thất vọng chất lượng ưu đãi rất chất lượng đáng tiền
1,326,tốt đẹp tốt giao hàng chất lượng rất ưu đãi không đáng tiền tận tình
1,196,nhanh hài lòng rất đẹp tận tình
1,404,đổi trả nhanh hài lòng đổi trả rất đổi trả xấu đổi trả đẹp giá
1,426,xấu không giá nhanh đổi trả tận tình
